keyword,bucket,owner_or_reason,volume,best_peer_pos,best_peer_domain,our_gsc_imp,our_gsc_clicks,our_bing_imp,our_bing_clicks
rental property roi calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,16,landlordstudio.com,,,,
rental return on investment calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,13,landlordstudio.com,,,,
rental roi calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,11,landlordstudio.com,,,,
rental value of property calculator uk,excluded,off-niche:long-tail (class-reviewed pass 3),90,30,taxd.co.uk,,,,
residential nil rate band calculator,deferred,wills-probate site,90,54,ukpropertyaccountants.co.uk,,,,
return on investment rental calculator,assigned,calculators/rental-income-tax-calculator,90,17,landlordstudio.com,,,,
return on rental investment calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,10,landlordstudio.com,,,,
return on rental property investment calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,14,landlordstudio.com,,,,
revenue scotland calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,52,ukpropertyaccountants.co.uk,,,,
reverse take home pay calculator,excluded,off-niche:salary/employment,90,47,taxd.co.uk,,,,
reverse take-home pay calculator,excluded,off-niche:salary/employment,90,15,taxd.co.uk,,,,
roi calculator for rental property,assigned,calculators/buy-to-let-cashflow-calculator,90,16,landlordstudio.com,,,,
roi calculator on rental property,assigned,calculators/buy-to-let-cashflow-calculator,90,14,landlordstudio.com,,,,
roi calculator rental,assigned,calculators/buy-to-let-cashflow-calculator,90,11,landlordstudio.com,,,,
roi calculator rental property,assigned,calculators/buy-to-let-cashflow-calculator,90,15,landlordstudio.com,,,,
roi for rental property calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,69,landlordstudio.com,,,,
roi on rental property calculator,assigned,calculators/buy-to-let-cashflow-calculator,90,22,landlordstudio.com,,,,
roi rental calculator,assigned,calculators/rental-income-tax-calculator,90,10,landlordstudio.com,,,,
salary after tax and ni calculator,excluded,off-niche:salary/employment,90,30,taxd.co.uk,,,,
salary calculator including car allowance,excluded,off-niche:salary/employment,90,40,taxd.co.uk,,,,
salary calculator monthly to annual,excluded,off-niche:salary/employment,90,38,taxd.co.uk,,,,
salary calculator mse,excluded,off-niche:salary/employment,90,30,taxd.co.uk,,,,
salary calculator with car allowance,excluded,off-niche:salary/employment,90,64,taxd.co.uk,,,,
salary calculator yearly to monthly,excluded,off-niche:salary/employment,90,38,taxd.co.uk,,,,
salary deduction calculator,excluded,off-niche:salary/employment,90,35,taxd.co.uk,,,,
salary deductions calculator,excluded,off-niche:salary/employment,90,23,taxd.co.uk,,,,
salary sacrifice calculator take home pay,excluded,off-niche:salary/employment,90,44,taxd.co.uk,,,,
salary tax and ni calculator,excluded,off-niche:salary/employment,90,44,taxd.co.uk,,,,
sdlt calculator residential,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,31,ukpropertyaccountants.co.uk,,,,
sdlt calculator scotland,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,53,uklandlordtax.co.uk,,,,
sdlt residential calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,27,ukpropertyaccountants.co.uk,,,,
second home capital gains tax calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",90,18,ukpropertyaccountants.co.uk,,,,
second job calculator,excluded,off-niche:long-tail (class-reviewed pass 3),90,8,taxd.co.uk,,,,
self employed tax calculator 23 24,excluded,off-niche:general-accountancy-calc,90,65,cruseburke.co.uk,,,,
self employed tax calculator 23/24,excluded,off-niche:general-accountancy-calc,90,75,optimiseaccountants.co.uk,,,,
self employed tax calculator 24/25,excluded,off-niche:general-accountancy-calc,90,77,optimiseaccountants.co.uk,,,,
self-employed tax calculator 23 24,excluded,off-niche:general-accountancy-calc,90,64,cruseburke.co.uk,,,,
self-employed tax calculator 24 25,excluded,off-niche:general-accountancy-calc,90,57,cruseburke.co.uk,,,,
selling shares tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),90,7,taxd.co.uk,,,,
shared ownership rent calculator uk,assigned,calculators/rental-income-tax-calculator,90,82,landlordstudio.com,,,,
side hustle tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),90,3,taxd.co.uk,,,,
sole trader calculator,excluded,off-niche:general-accountancy-calc,90,41,taxd.co.uk,,,,
sole trader income tax calculator,excluded,off-niche:general-accountancy-calc,90,28,taxd.co.uk,,,,
stamp duty calculator commercial lease,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,50,ukpropertyaccountants.co.uk,,,,
stamp duty calculator commercial property lease,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,51,uklandlordtax.co.uk,,,,
stamp duty calculator for 2nd home,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,31,uklandlordtax.co.uk,,,,
stamp duty calculator for ltd company,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,17,provestor.co.uk,,,,
stamp duty calculator from april 2025,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,11,uklandlordtax.co.uk,,,,
stamp duty calculator hmrc gov uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,22,uklandlordtax.co.uk,,,,
stamp duty calculator ireland,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,16,uklandlordtax.co.uk,,,,
stamp duty commercial lease calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,39,ukpropertyaccountants.co.uk,,,,
stamp duty in wales calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,15,uklandlordtax.co.uk,,,,
stamp duty ireland calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,25,uklandlordtax.co.uk,,,,
stamp duty mortgage calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,33,uklandlordtax.co.uk,,,,
stamp duty on 2nd home calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,28,uklandlordtax.co.uk,,,,
stamp duty on lease calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,49,uklandlordtax.co.uk,,,,
stamp duty on leases calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,42,ukpropertyaccountants.co.uk,,,,
stamp duty on mortgage calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,32,uklandlordtax.co.uk,,,,
stamp duty on selling a house calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,36,uklandlordtax.co.uk,,,,
take home pay calculator 2024,excluded,off-niche:salary/employment,90,4,taxd.co.uk,,,,
take home pay calculator daily rate,excluded,off-niche:salary/employment,90,26,taxd.co.uk,,,,
take home pay calculator mse,excluded,off-niche:salary/employment,90,18,taxd.co.uk,,,,
take home pay reverse calculator,excluded,off-niche:salary/employment,90,23,taxd.co.uk,,,,
take home teacher pay calculator,excluded,off-niche:salary/employment,90,30,taxd.co.uk,,,,
take-home pay calculator scotland 2025,excluded,off-niche:salary/employment,90,19,taxd.co.uk,,,,
tax and national insurance calculator uk,excluded,off-niche:general-accountancy-calc,90,27,ukpropertyaccountants.co.uk,,,,
tax and pension contribution calculator,excluded,off-niche:general-accountancy-calc,90,54,cruseburke.co.uk,,,,
tax calculator limited company dividends,excluded,off-niche:general-accountancy-calc,90,74,cruseburke.co.uk,,,,
tax calculator net income,excluded,off-niche:salary/employment,90,33,taxd.co.uk,,,,
tax calculator pension contributions,excluded,off-niche:general-accountancy-calc,90,45,cruseburke.co.uk,,,,
tax deductible calculator,excluded,off-niche:long-tail (class-reviewed pass 3),90,41,taxd.co.uk,,,,
tax deduction at source calculator,excluded,off-niche:long-tail (class-reviewed pass 3),90,20,taxd.co.uk,,,,
tax deductions calculator,excluded,off-niche:salary/employment,90,24,taxd.co.uk,,,,
tax mileage calculator,deferred,trade-site:mileage,90,6,ukpropertyaccountants.co.uk,,,,
tax ni and pension calculator,excluded,off-niche:general-accountancy-calc,90,45,taxd.co.uk,,,,
tax rebate calculator 2025,excluded,off-niche:refund/expat-employment,90,4,taxd.co.uk,,,,
tax trap over 100k calculator,excluded,off-niche:long-tail (class-reviewed pass 3),90,10,taxd.co.uk,,,,
taxes deduction calculator,excluded,off-niche:salary/employment,90,27,taxd.co.uk,,,,
the tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),90,50,taxd.co.uk,,,,
total mortgage repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",90,48,ukpropertyaccountants.co.uk,,,,
transferable nil rate band calculator,deferred,wills-probate site,90,31,ukpropertyaccountants.co.uk,,,,
uber eats tax calculator uk,excluded,off-niche:general-tax-calc (no property qualifier),90,17,taxd.co.uk,,,,
uk national insurance tax calculator,excluded,off-niche:general-accountancy-calc,90,21,ukpropertyaccountants.co.uk,,,,
uk tax national insurance calculator,excluded,off-niche:general-accountancy-calc,90,22,ukpropertyaccountants.co.uk,,,,
universal credit mileage calculator,deferred,trade-site:mileage,90,25,ukpropertyaccountants.co.uk,,,,
wage rate calculator,excluded,off-niche:salary/employment,90,36,taxd.co.uk,,,,
wales ltt calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",90,18,uklandlordtax.co.uk,,,,
we buy any house how much below market value calculator,excluded,off-niche:long-tail (class-reviewed pass 3),90,26,ukpropertyaccountants.co.uk,,,,
wealth tax uk calculator,excluded,off-niche:salary/employment,90,57,taxd.co.uk,,,,
weekly salary calculator after taxes,excluded,off-niche:salary/employment,90,15,ukpropertyaccountants.co.uk,,,,
work out yield,assigned,calculators/rental-yield-calculator,90,24,landlordstudio.com,,,,
working out yield,assigned,calculators/rental-yield-calculator,90,15,landlordstudio.com,,,,
yearly salary to monthly calculator,excluded,off-niche:salary/employment,90,33,taxd.co.uk,,,,
yield calculator formula,assigned,calculators/rental-yield-calculator,90,18,landlordstudio.com,,,,
yield calculator investment,assigned,calculators/rental-yield-calculator,90,11,landlordstudio.com,,,,
183 day rule uk calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,5,taxd.co.uk,,,,
183-day rule uk calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,4,taxd.co.uk,,,,
adp calculator salary,excluded,off-niche:salary/employment,70,26,taxd.co.uk,,,,
annual income before tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),70,44,taxd.co.uk,,,,
annual income before taxes calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,35,taxd.co.uk,,,,
attendance allowance points calculator nhs,excluded,off-niche:long-tail (class-reviewed pass 3),70,24,cruseburke.co.uk,,,,
average rental yield,assigned,blog:property-investment-benchmarks-uk-2026-good-yield [EXTEND],70,37,provestor.co.uk,,,,
average rental yield in london,assigned,blog:property-investment-benchmarks-uk-2026-good-yield [EXTEND],70,38,provestor.co.uk,,,,
average rental yield london,assigned,blog:property-investment-benchmarks-uk-2026-good-yield [EXTEND],70,36,provestor.co.uk,,,,
average rental yields,assigned,blog:property-investment-benchmarks-uk-2026-good-yield [EXTEND],70,15,provestor.co.uk,,,,
basic salary calculator,excluded,off-niche:salary/employment,70,39,taxd.co.uk,,,,
basis salary calculator,excluded,off-niche:salary/employment,70,58,taxd.co.uk,,,,
best retirement interest only mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,54,uklandlordtax.co.uk,,,,
bonus sacrifice calculator,excluded,off-niche:salary/employment,70,52,taxd.co.uk,,,,
bonus salary calculator uk,excluded,off-niche:salary/employment,70,7,taxd.co.uk,,,,
br tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),70,42,taxd.co.uk,,,,
btl calculator uk,assigned,calculators/buy-to-let-mortgage-calculator,70,3,uklandlordtax.co.uk,1,0,,
btl mortgage repayment calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,2,uklandlordtax.co.uk,,,,
btl yield calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,20,landlordstudio.com,4,0,,
buy to let mortgage calculator how much can i borrow,assigned,calculators/buy-to-let-mortgage-calculator,70,20,uklandlordtax.co.uk,,,,
buy to let mortgage how much can i borrow calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,19,uklandlordtax.co.uk,,,,
buy to let mortgage payments calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,1,uklandlordtax.co.uk,,,,
buy-to let repayment calculator uk,assigned,calculators/buy-to-let-mortgage-calculator,70,2,uklandlordtax.co.uk,,,,
calculator job salary,excluded,off-niche:salary/employment,70,44,taxd.co.uk,,,,
calculator mortgage payment,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,70,ukpropertyaccountants.co.uk,,,,
capital and interest repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,52,ukpropertyaccountants.co.uk,,,,
capital gains tax on agricultural land calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",70,15,ukpropertyaccountants.co.uk,,,,
capital gains tax on gifted property calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",70,23,ukpropertyaccountants.co.uk,,,,
capital gains tax on jointly owned property uk calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",70,5,ukpropertyaccountants.co.uk,,,,
capital gains tax on shares held for 10 years calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",70,9,taxd.co.uk,,,,
car allowance calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,29,taxd.co.uk,,,,
car allowance calculator uk,excluded,off-niche:long-tail (class-reviewed pass 3),70,46,taxd.co.uk,,,,
check income tax calculator,excluded,off-niche:salary/employment,70,26,ukpropertyaccountants.co.uk,,,,
cis pay calculator,excluded,off-niche:salary/employment,70,9,taxd.co.uk,,,,
cis payment calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,8,taxd.co.uk,,,,
cis tax calculator hmrc,excluded,off-niche:general-tax-calc (no property qualifier),70,1,taxd.co.uk,,,,
co ownership repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,41,uklandlordtax.co.uk,,,,
commercial property calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,79,provestor.co.uk,14,0,,
crown cellars gp calculator,excluded,off-niche:personal/other,70,62,cruseburke.co.uk,,,,
ct marginal relief calculator,excluded,off-niche:general-accountancy-calc,70,77,optimiseaccountants.co.uk,,,,
daily rate to annual salary calculator uk,excluded,off-niche:salary/employment,70,46,taxd.co.uk,,,,
daily rent calculator,assigned,calculators/rental-income-tax-calculator,70,66,landlordstudio.com,,,,
director loan calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,10,uklandlordtax.co.uk,,,,
directors loan calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,13,uklandlordtax.co.uk,,,,
ebay business fee calculator,excluded,off-niche:marketplace/crypto,70,44,cruseburke.co.uk,,,,
employee nic calculator,excluded,off-niche:salary/employment,70,26,ukpropertyaccountants.co.uk,,,,
employee salary calculator,excluded,off-niche:salary/employment,70,72,taxd.co.uk,,,,
employer ni calculator 25 26,excluded,off-niche:general-accountancy-calc,70,52,ukpropertyaccountants.co.uk,,,,
employer's contribution calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,55,cruseburke.co.uk,,,,
employment salary calculator,excluded,off-niche:salary/employment,70,42,taxd.co.uk,,,,
english stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,36,uklandlordtax.co.uk,,,,
entrepreneur relief calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,47,cruseburke.co.uk,,,,
entrepreneurs relief calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,53,cruseburke.co.uk,,,,
farm inheritance tax calculator,excluded,off-niche:general-accountancy-calc,70,40,ukpropertyaccountants.co.uk,,,,
final pay calculator,excluded,off-niche:salary/employment,70,77,taxd.co.uk,,,,
freelance salary calculator,excluded,off-niche:salary/employment,70,37,taxd.co.uk,,,,
gibraltar tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),70,17,ukpropertyaccountants.co.uk,,,,
gov tax credits calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,26,taxd.co.uk,,,,
government pay calculator,excluded,off-niche:salary/employment,70,25,taxd.co.uk,,,,
government tax credit calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,33,taxd.co.uk,,,,
gross up calculator uk,excluded,off-niche:salary/employment,70,17,taxd.co.uk,,,,
gross yield,assigned,calculators/rental-yield-calculator,70,18,landlordstudio.com,,,,
hmrc cgt adjustment calculator,already-covered,"cgt-cluster (batch cgt1, deploy parked)",70,36,taxd.co.uk,,,,
holiday let calculator,assigned,blog:holiday-let pages (existing),70,20,ukpropertyaccountants.co.uk,,,,
house buying stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,42,uklandlordtax.co.uk,,,,
house purchase stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,41,uklandlordtax.co.uk,,,,
how do dividend yields work,excluded,off-niche:general-accountancy-calc,70,29,cruseburke.co.uk,,,,
how does a dividend yield work,excluded,off-niche:general-accountancy-calc,70,35,cruseburke.co.uk,,,,
how does dividend yield work,excluded,off-niche:general-accountancy-calc,70,35,cruseburke.co.uk,,,,
how much inheritance tax calculator,excluded,off-niche:general-accountancy-calc,70,32,ukpropertyaccountants.co.uk,,,,
how much inheritance tax will i pay calculator,excluded,off-niche:general-accountancy-calc,70,42,optimiseaccountants.co.uk,,,,
how much tax will i pay calculator self employed,excluded,off-niche:general-accountancy-calc,70,39,optimiseaccountants.co.uk,,,,
how much tax will i pay self employed calculator,excluded,off-niche:general-accountancy-calc,70,29,taxd.co.uk,,,,
how much would 2p on income tax cost me calculator,excluded,off-niche:salary/employment,70,22,taxd.co.uk,,,,
how to avoid paying tax on your pension calculator,excluded,off-niche:general-accountancy-calc,70,77,cruseburke.co.uk,,,,
how to calculate rental yield uk,assigned,blog:property-investment-benchmarks-uk-2026-good-yield [EXTEND],70,20,landlordstudio.com,,,,
hsbc buy to let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,38,uklandlordtax.co.uk,,,,
hsbc buy-to let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,31,uklandlordtax.co.uk,,,,
hsbc buy-to-let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,30,uklandlordtax.co.uk,,,,
i own my house outright and want a loan calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,26,uklandlordtax.co.uk,,,,
ic calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,31,taxd.co.uk,,,,
income salary tax calculator,excluded,off-niche:salary/employment,70,30,ukpropertyaccountants.co.uk,,,,
income tax paye calculator,excluded,off-niche:salary/employment,70,58,taxd.co.uk,,,,
income tax payment calculator,excluded,off-niche:salary/employment,70,34,ukpropertyaccountants.co.uk,,,,
inheritance tax insurance calculator,excluded,off-niche:general-accountancy-calc,70,46,ukpropertyaccountants.co.uk,,,,
inheritance tax liability calculator,excluded,off-niche:general-accountancy-calc,70,28,ukpropertyaccountants.co.uk,,,,
interest and capital repayment calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,55,ukpropertyaccountants.co.uk,,,,
interest only commercial mortgage calculator,assigned,calculators/commercial-mortgage-calculator,70,29,uklandlordtax.co.uk,15,0,,
interest only vs repayment mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,28,uklandlordtax.co.uk,,,,
investment property yield,assigned,calculators/rental-yield-calculator,70,16,landlordstudio.com,,,,
investment property yields,assigned,calculators/rental-yield-calculator,70,40,provestor.co.uk,,,,
ird tax calculator,assigned,calculators/rd-tax-credit-calculator,70,43,taxd.co.uk,,,,
isle of man mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,40,uklandlordtax.co.uk,,,,
job calculator salary,excluded,off-niche:salary/employment,70,17,taxd.co.uk,,,,
job earning calculator,excluded,off-niche:salary/employment,70,28,taxd.co.uk,,,,
job salary calculator,excluded,off-niche:salary/employment,70,52,taxd.co.uk,,,,
joint borrower sole proprietor mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,57,uklandlordtax.co.uk,,,,
land transaction tax calculator wales,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,18,uklandlordtax.co.uk,,,16,0
landlord costs calculator uk,assigned,calculators/buy-to-let-mortgage-calculator,70,18,taxd.co.uk,2,0,,
let to buy mortgage calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,22,uklandlordtax.co.uk,,,,
limited company salary calculator,excluded,off-niche:salary/employment,70,65,taxd.co.uk,,,,
limited company take home pay calculator,excluded,off-niche:salary/employment,70,61,taxd.co.uk,,,,
loans for land calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,36,uklandlordtax.co.uk,,,,
local property tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),70,35,provestor.co.uk,,,,
london average rental yield,assigned,blog:property-investment-benchmarks-uk-2026-good-yield [EXTEND],70,27,provestor.co.uk,,,,
lottery winnings tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),70,17,cruseburke.co.uk,,,,
lpt calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,27,provestor.co.uk,,,,
ltd stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,14,optimiseaccountants.co.uk,,,,
lump sum taxes calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,73,taxd.co.uk,,,,
money saving expert pay calculator,excluded,off-niche:salary/employment,70,38,taxd.co.uk,,,,
monthly payment mortgage loan calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,37,uklandlordtax.co.uk,,,,
monthly rent calculator uk,assigned,calculators/rental-income-tax-calculator,70,83,landlordstudio.com,,,,
monthly salary calculator scotland,excluded,off-niche:salary/employment,70,37,taxd.co.uk,,,,
monthly wage tax calculator uk,excluded,off-niche:salary/employment,70,30,taxd.co.uk,,,,
mortgage buyout calculator uk,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,51,uklandlordtax.co.uk,,,,
mortgage calculator for first time home buyer,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,39,uklandlordtax.co.uk,,,,
mortgage calculator for help to buy,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,37,uklandlordtax.co.uk,,,,
mortgage calculator iom,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,41,uklandlordtax.co.uk,,,,
mortgage calculator isle of man,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,28,uklandlordtax.co.uk,,,,
mortgage calculator rental property,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,3,uklandlordtax.co.uk,,,,
mortgage calculator with help to buy,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,34,uklandlordtax.co.uk,,,,
mortgage loan calculator first time home buyer,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,52,uklandlordtax.co.uk,,,,
mortgage or rent calculator,assigned,calculators/rental-income-tax-calculator,70,4,uklandlordtax.co.uk,,,,
mortgage payment calculator first time home buyer,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,41,uklandlordtax.co.uk,,,,
mortgage rental property calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,4,uklandlordtax.co.uk,,,,
mortgage repayment calculator graph,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,49,ukpropertyaccountants.co.uk,,,,
mse wage calculator,excluded,off-niche:salary/employment,70,12,taxd.co.uk,,,,
my monthly salary calculator,excluded,off-niche:salary/employment,70,39,taxd.co.uk,,,,
my take home pay after tax calculator,excluded,off-niche:salary/employment,70,31,taxd.co.uk,,,,
nanny paye calculator,excluded,off-niche:salary/employment,70,40,cruseburke.co.uk,,,,
national insurance calculator monthly salary,excluded,off-niche:salary/employment,70,62,ukpropertyaccountants.co.uk,,,,
nationwide buy to let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,20,uklandlordtax.co.uk,,,,
natwest buy to let mortgage calculator,assigned,calculators/buy-to-let-mortgage-calculator,70,39,uklandlordtax.co.uk,,,,
net take home salary calculator,excluded,off-niche:salary/employment,70,12,taxd.co.uk,,,,
net yield calculation,assigned,calculators/rental-yield-calculator,70,11,landlordstudio.com,,,,
net yield calculator,assigned,calculators/rental-yield-calculator,70,11,landlordstudio.com,,,,
new build council tax calculator,excluded,off-niche:local-tax-generic,70,16,ukpropertyaccountants.co.uk,,,,
ni and tax calculator for employers,excluded,off-niche:general-tax-calc (no property qualifier),70,49,ukpropertyaccountants.co.uk,,,,
ni calculator 2025,excluded,off-niche:salary/employment,70,71,ukpropertyaccountants.co.uk,,,,
nic calculator hmrc,excluded,off-niche:salary/employment,70,13,taxd.co.uk,,,,
niy calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,41,landlordstudio.com,,,,
no deposit mortgage government scheme calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,44,uklandlordtax.co.uk,,,,
non dependant deductions calculator,excluded,off-niche:salary/employment,70,49,taxd.co.uk,,,,
online stamp duty calculator,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,42,uklandlordtax.co.uk,,,,
overpaid tax calculator,excluded,off-niche:general-tax-calc (no property qualifier),70,18,taxd.co.uk,,,,
p85 tax refund calculator,excluded,off-niche:refund/expat-employment,70,4,taxd.co.uk,,,,
part month pay calculator,excluded,off-niche:salary/employment,70,43,taxd.co.uk,,,,
pay calculator with tax,excluded,off-niche:salary/employment,70,18,taxd.co.uk,,,,
pay deductions calculator uk,excluded,off-niche:salary/employment,70,12,taxd.co.uk,,,,
payment calculator for land,excluded,off-niche:long-tail (class-reviewed pass 3),70,24,uklandlordtax.co.uk,,,,
pension emergency tax calculator,excluded,off-niche:general-accountancy-calc,70,60,cruseburke.co.uk,,,,
per annum salary calculator,excluded,off-niche:salary/employment,70,44,taxd.co.uk,,,,
property rental return calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,9,landlordstudio.com,,,,
property stamp duty calculator uk,already-covered,"sdlt-cluster (deployed 08-18, window armed)",70,7,uklandlordtax.co.uk,,,,
quick payroll calculator,excluded,off-niche:salary/employment,70,40,taxd.co.uk,,,,
quickpay calculator,excluded,off-niche:salary/employment,70,21,taxd.co.uk,,,,
rate of return on rental property calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,11,landlordstudio.com,,,,
rate of return rental property calculator,excluded,off-niche:long-tail (class-reviewed pass 3),70,10,landlordstudio.com,,,,
relief at source pension calculator,excluded,off-niche:general-accountancy-calc,70,49,cruseburke.co.uk,,,,
rent calculator weekly,assigned,calculators/rental-income-tax-calculator,70,57,landlordstudio.com,,,,
rent or mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,5,uklandlordtax.co.uk,,,,
rental property mortgage calculator,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,3,uklandlordtax.co.uk,,,,
rental yield formula,assigned,calculators/rental-yield-calculator,70,7,landlordstudio.com,,,,
repayment mortgage calculator graph,excluded,"generic-mortgage: bank/MSE-owned, no landlord intent",70,62,ukpropertyaccountants.co.uk,,,,
right to buy calculator 2025,excluded,off-niche:long-tail (class-reviewed pass 3),70,54,uklandlordtax.co.uk,,,,
salary calculator bonus uk,excluded,off-niche:salary/employment,70,7,taxd.co.uk,,,,
salary calculator jobs,excluded,off-niche:salary/employment,70,42,taxd.co.uk,,,,
salary calculator pension contributions,excluded,off-niche:salary/employment,70,19,taxd.co.uk,,,,
salary calculator per annum,excluded,off-niche:salary/employment,70,40,taxd.co.uk,,,,
salary calculator second job,excluded,off-niche:salary/employment,70,8,taxd.co.uk,,,,
salary calculator self employed uk,excluded,off-niche:salary/employment,70,35,taxd.co.uk,,,,
salary calculator uk bonus,excluded,off-niche:salary/employment,70,10,taxd.co.uk,,,,
salary calculator uk with bonus,excluded,off-niche:salary/employment,70,9,taxd.co.uk,,,,
