Case_type,Region,Representation,Quarter,Number_of_disposals,Mean_duration,Median_duration
Children Act (Public),Wales,All types,2018-Q2,281,26.200000,24.100000000
Children Act (Public),England & Wales,1 Both,2018-Q3,3191,30.000000,25.700000000
Children Act (Public),England & Wales,2 Applicant Only,2018-Q3,656,14.600000,11.500000000
Children Act (Public),England & Wales,3 Respondent Only,2018-Q3,29,34.200000,26.900000000
Children Act (Public),England & Wales,4 Neither,2018-Q3,36,13.700000,9.900000000
Children Act (Public),England & Wales,All types,2018-Q3,3912,27.300000,24.900000000
Children Act (Public),London,1 Both,2018-Q3,347,34.500000,32.600000000
Children Act (Public),London,2 Applicant Only,2018-Q3,104,21.400000,19.600000000
Children Act (Public),London,3 Respondent Only,2018-Q3,5,51.000000,37.400000000
Children Act (Public),London,4 Neither,2018-Q3,3,17.200000,9.400000000
Children Act (Public),London,All types,2018-Q3,459,31.600000,29.900000000
Children Act (Public),Midlands,1 Both,2018-Q3,620,33.100000,27.000000000
Children Act (Public),Midlands,2 Applicant Only,2018-Q3,110,15.200000,13.000000000
Children Act (Public),Midlands,3 Respondent Only,2018-Q3,3,32.500000,25.300000000
Children Act (Public),Midlands,4 Neither,2018-Q3,7,11.100000,10.300000000
Children Act (Public),Midlands,All types,2018-Q3,740,30.200000,25.400000000
Children Act (Public),North East,1 Both,2018-Q3,609,28.200000,25.100000000
Children Act (Public),North East,2 Applicant Only,2018-Q3,113,13.500000,11.700000000
Children Act (Public),North East,3 Respondent Only,2018-Q3,11,29.300000,26.700000000
Children Act (Public),North East,4 Neither,2018-Q3,7,14.900000,12.600000000
Children Act (Public),North East,All types,2018-Q3,740,25.800000,24.300000000
Children Act (Public),North West,1 Both,2018-Q3,482,30.600000,26.100000000
Children Act (Public),North West,2 Applicant Only,2018-Q3,139,12.900000,10.900000000
Children Act (Public),North West,4 Neither,2018-Q3,6,15.100000,10.600000000
Children Act (Public),North West,All types,2018-Q3,627,26.600000,24.600000000
Children Act (Public),South East,1 Both,2018-Q3,535,29.400000,25.700000000
Children Act (Public),South East,2 Applicant Only,2018-Q3,88,14.400000,13.500000000
Children Act (Public),South East,3 Respondent Only,2018-Q3,3,33.200000,14.000000000
Children Act (Public),South East,4 Neither,2018-Q3,5,13.500000,8.900000000
Children Act (Public),South East,All types,2018-Q3,631,27.200000,25.000000000
Children Act (Public),South West,1 Both,2018-Q3,352,26.600000,24.400000000
Children Act (Public),South West,2 Applicant Only,2018-Q3,67,10.700000,6.100000000
Children Act (Public),South West,3 Respondent Only,2018-Q3,2,55.200000,55.200000000
Children Act (Public),South West,4 Neither,2018-Q3,1,18.900000,18.900000000
Children Act (Public),South West,All types,2018-Q3,422,24.200000,23.200000000
Children Act (Public),Wales,1 Both,2018-Q3,246,25.800000,24.500000000
Children Act (Public),Wales,2 Applicant Only,2018-Q3,35,10.600000,9.000000000
Children Act (Public),Wales,3 Respondent Only,2018-Q3,5,21.400000,23.000000000
Children Act (Public),Wales,4 Neither,2018-Q3,7,11.800000,13.000000000
Children Act (Public),Wales,All types,2018-Q3,293,23.500000,23.900000000
Children Act (Public),England & Wales,1 Both,2018-Q4,3326,30.500000,26.300000000
Children Act (Public),England & Wales,2 Applicant Only,2018-Q4,690,15.000000,11.400000000
Children Act (Public),England & Wales,3 Respondent Only,2018-Q4,35,31.400000,27.400000000
Children Act (Public),England & Wales,4 Neither,2018-Q4,33,15.700000,16.900000000
Children Act (Public),England & Wales,All types,2018-Q4,4084,27.800000,25.300000000
Children Act (Public),London,1 Both,2018-Q4,390,33.900000,32.400000000
Children Act (Public),London,2 Applicant Only,2018-Q4,102,19.300000,14.700000000
Children Act (Public),London,3 Respondent Only,2018-Q4,1,57.600000,57.600000000
Children Act (Public),London,4 Neither,2018-Q4,1,23.300000,23.300000000
Children Act (Public),London,All types,2018-Q4,494,30.900000,29.300000000
Children Act (Public),Midlands,1 Both,2018-Q4,621,33.300000,29.000000000
Children Act (Public),Midlands,2 Applicant Only,2018-Q4,105,14.100000,11.100000000
Children Act (Public),Midlands,4 Neither,2018-Q4,5,13.500000,16.900000000
Children Act (Public),Midlands,All types,2018-Q4,731,30.400000,26.000000000
Children Act (Public),North East,1 Both,2018-Q4,561,29.600000,25.700000000
Children Act (Public),North East,2 Applicant Only,2018-Q4,131,12.700000,9.000000000
Children Act (Public),North East,3 Respondent Only,2018-Q4,20,32.600000,28.700000000
Children Act (Public),North East,4 Neither,2018-Q4,10,12.800000,13.800000000
Children Act (Public),North East,All types,2018-Q4,722,26.400000,24.600000000
Children Act (Public),North West,1 Both,2018-Q4,528,30.300000,27.000000000
Children Act (Public),North West,2 Applicant Only,2018-Q4,150,17.300000,12.700000000
Children Act (Public),North West,3 Respondent Only,2018-Q4,1,40.600000,40.600000000
Children Act (Public),North West,4 Neither,2018-Q4,10,19.400000,25.200000000
Children Act (Public),North West,All types,2018-Q4,689,27.300000,25.100000000
Children Act (Public),South East,1 Both,2018-Q4,561,30.600000,26.300000000
Children Act (Public),South East,2 Applicant Only,2018-Q4,117,13.600000,11.000000000
Children Act (Public),South East,3 Respondent Only,2018-Q4,5,23.600000,16.400000000
Children Act (Public),South East,4 Neither,2018-Q4,2,1.300000,1.300000000
Children Act (Public),South East,All types,2018-Q4,685,27.500000,25.400000000
Children Act (Public),South West,1 Both,2018-Q4,391,26.800000,23.900000000
Children Act (Public),South West,2 Applicant Only,2018-Q4,44,10.700000,7.200000000
Children Act (Public),South West,3 Respondent Only,2018-Q4,5,25.000000,21.400000000
Children Act (Public),South West,4 Neither,2018-Q4,2,16.100000,16.100000000
Children Act (Public),South West,All types,2018-Q4,442,25.100000,22.900000000
Children Act (Public),Wales,1 Both,2018-Q4,274,26.500000,24.900000000
Children Act (Public),Wales,2 Applicant Only,2018-Q4,41,14.300000,11.600000000
Children Act (Public),Wales,3 Respondent Only,2018-Q4,3,35.400000,33.600000000
Children Act (Public),Wales,4 Neither,2018-Q4,3,23.400000,24.700000000
Children Act (Public),Wales,All types,2018-Q4,321,25.000000,24.100000000
Children Act (Public),England & Wales,1 Both,2019-Q1,2999,31.700000,27.700000000
Children Act (Public),England & Wales,2 Applicant Only,2019-Q1,706,15.200000,12.000000000
Children Act (Public),England & Wales,3 Respondent Only,2019-Q1,32,26.800000,26.300000000
Children Act (Public),England & Wales,4 Neither,2019-Q1,48,18.000000,18.100000000
Children Act (Public),England & Wales,All types,2019-Q1,3785,28.400000,25.600000000
Children Act (Public),London,1 Both,2019-Q1,334,33.100000,31.400000000
Children Act (Public),London,2 Applicant Only,2019-Q1,98,20.700000,20.400000000
Children Act (Public),London,3 Respondent Only,2019-Q1,1,66.100000,66.100000000
Children Act (Public),London,4 Neither,2019-Q1,6,20.600000,21.600000000
Children Act (Public),London,All types,2019-Q1,439,30.200000,28.600000000
Children Act (Public),Midlands,1 Both,2019-Q1,519,35.800000,31.600000000
Children Act (Public),Midlands,2 Applicant Only,2019-Q1,123,15.500000,13.600000000
Children Act (Public),Midlands,4 Neither,2019-Q1,7,22.700000,28.600000000
Children Act (Public),Midlands,All types,2019-Q1,649,31.800000,27.400000000
Children Act (Public),North East,1 Both,2019-Q1,621,30.700000,25.900000000
Children Act (Public),North East,2 Applicant Only,2019-Q1,145,14.200000,12.100000000
Children Act (Public),North East,3 Respondent Only,2019-Q1,17,27.100000,26.600000000
Children Act (Public),North East,4 Neither,2019-Q1,11,15.700000,8.100000000
Children Act (Public),North East,All types,2019-Q1,794,27.400000,24.900000000
Children Act (Public),North West,1 Both,2019-Q1,450,31.800000,29.100000000
Children Act (Public),North West,2 Applicant Only,2019-Q1,135,15.600000,11.400000000
Children Act (Public),North West,3 Respondent Only,2019-Q1,2,40.800000,40.800000000
Children Act (Public),North West,4 Neither,2019-Q1,6,28.600000,28.100000000
Children Act (Public),North West,All types,2019-Q1,593,28.100000,26.000000000
Children Act (Public),South East,1 Both,2019-Q1,499,31.300000,28.600000000
Children Act (Public),South East,2 Applicant Only,2019-Q1,82,14.000000,11.200000000
Children Act (Public),South East,3 Respondent Only,2019-Q1,6,21.000000,18.700000000
Children Act (Public),South East,4 Neither,2019-Q1,12,10.500000,6.200000000
Children Act (Public),South East,All types,2019-Q1,599,28.400000,26.600000000
Children Act (Public),South West,1 Both,2019-Q1,341,29.900000,25.900000000
Children Act (Public),South West,2 Applicant Only,2019-Q1,66,10.800000,8.400000000
Children Act (Public),South West,3 Respondent Only,2019-Q1,4,20.800000,23.000000000
Children Act (Public),South West,4 Neither,2019-Q1,5,19.000000,21.000000000
Children Act (Public),South West,All types,2019-Q1,416,26.700000,24.400000000
Children Act (Public),Wales,1 Both,2019-Q1,235,27.300000,24.700000000
Children Act (Public),Wales,2 Applicant Only,2019-Q1,57,13.200000,9.100000000
Children Act (Public),Wales,3 Respondent Only,2019-Q1,2,20.000000,20.000000000
Children Act (Public),Wales,4 Neither,2019-Q1,1,13.700000,13.700000000
Children Act (Public),Wales,All types,2019-Q1,295,24.500000,24.000000000
Children Act (Public),England & Wales,1 Both,2019-Q2,3103,32.200000,28.400000000
Children Act (Public),England & Wales,2 Applicant Only,2019-Q2,745,15.800000,11.300000000
Children Act (Public),England & Wales,3 Respondent Only,2019-Q2,33,28.800000,25.300000000
Children Act (Public),England & Wales,4 Neither,2019-Q2,32,14.900000,12.900000000
Children Act (Public),England & Wales,All types,2019-Q2,3913,28.900000,25.900000000
Children Act (Public),London,1 Both,2019-Q2,370,35.200000,33.700000000
Children Act (Public),London,2 Applicant Only,2019-Q2,69,17.100000,13.600000000
Children Act (Public),London,3 Respondent Only,2019-Q2,2,48.400000,48.400000000
Children Act (Public),London,4 Neither,2019-Q2,6,17.000000,12.800000000
Children Act (Public),London,All types,2019-Q2,447,32.200000,31.300000000
Children Act (Public),Midlands,1 Both,2019-Q2,541,36.100000,31.400000000
Children Act (Public),Midlands,2 Applicant Only,2019-Q2,147,16.500000,12.300000000
Children Act (Public),Midlands,3 Respondent Only,2019-Q2,4,40.100000,28.700000000
Children Act (Public),Midlands,4 Neither,2019-Q2,4,14.800000,15.500000000
Children Act (Public),Midlands,All types,2019-Q2,696,31.900000,28.300000000
Children Act (Public),North East,1 Both,2019-Q2,588,32.100000,27.100000000
Children Act (Public),North East,2 Applicant Only,2019-Q2,149,19.600000,14.600000000
Children Act (Public),North East,3 Respondent Only,2019-Q2,17,31.300000,28.700000000
Children Act (Public),North East,4 Neither,2019-Q2,10,18.000000,13.500000000
Children Act (Public),North East,All types,2019-Q2,764,29.500000,25.100000000
Children Act (Public),North West,1 Both,2019-Q2,467,32.800000,29.100000000
Children Act (Public),North West,2 Applicant Only,2019-Q2,149,15.700000,10.300000000
Children Act (Public),North West,4 Neither,2019-Q2,2,19.700000,19.700000000
Children Act (Public),North West,All types,2019-Q2,618,28.600000,26.600000000
Children Act (Public),South East,1 Both,2019-Q2,547,31.300000,28.100000000
Children Act (Public),South East,2 Applicant Only,2019-Q2,104,13.100000,7.100000000
Children Act (Public),South East,3 Respondent Only,2019-Q2,3,22.600000,30.000000000
Children Act (Public),South East,4 Neither,2019-Q2,3,8.700000,6.600000000
Children Act (Public),South East,All types,2019-Q2,657,28.300000,26.000000000
Children Act (Public),South West,1 Both,2019-Q2,361,27.800000,25.100000000
Children Act (Public),South West,2 Applicant Only,2019-Q2,77,11.000000,7.700000000
Children Act (Public),South West,3 Respondent Only,2019-Q2,1,24.600000,24.600000000
Children Act (Public),South West,4 Neither,2019-Q2,1,5.000000,5.000000000
Children Act (Public),South West,All types,2019-Q2,440,24.800000,23.500000000
Children Act (Public),Wales,1 Both,2019-Q2,229,26.800000,24.900000000
Children Act (Public),Wales,2 Applicant Only,2019-Q2,50,14.300000,14.100000000
Children Act (Public),Wales,3 Respondent Only,2019-Q2,6,11.600000,10.200000000
Children Act (Public),Wales,4 Neither,2019-Q2,6,10.700000,10.400000000
Children Act (Public),Wales,All types,2019-Q2,291,24.000000,23.900000000
Children Act (Public),England & Wales,1 Both,2019-Q3,2981,32.800000,28.300000000
Children Act (Public),England & Wales,2 Applicant Only,2019-Q3,698,14.600000,10.700000000
Children Act (Public),England & Wales,3 Respondent Only,2019-Q3,33,35.700000,33.900000000
Children Act (Public),England & Wales,4 Neither,2019-Q3,47,16.200000,12.300000000
Children Act (Public),England & Wales,All types,2019-Q3,3759,29.200000,25.600000000
Children Act (Public),London,1 Both,2019-Q3,318,35.800000,33.100000000
Children Act (Public),London,2 Applicant Only,2019-Q3,81,17.500000,12.100000000
Children Act (Public),London,3 Respondent Only,2019-Q3,2,39.000000,39.000000000
Children Act (Public),London,4 Neither,2019-Q3,6,16.500000,17.500000000
Children Act (Public),London,All types,2019-Q3,407,31.900000,28.600000000
Children Act (Public),Midlands,1 Both,2019-Q3,570,35.200000,30.100000000
Children Act (Public),Midlands,2 Applicant Only,2019-Q3,129,15.100000,12.600000000
Children Act (Public),Midlands,3 Respondent Only,2019-Q3,3,25.100000,25.000000000
Children Act (Public),Midlands,4 Neither,2019-Q3,8,29.500000,30.200000000
Children Act (Public),Midlands,All types,2019-Q3,710,31.500000,27.200000000
Children Act (Public),North East,1 Both,2019-Q3,544,32.600000,27.000000000
Children Act (Public),North East,2 Applicant Only,2019-Q3,138,17.600000,11.400000000
Children Act (Public),North East,3 Respondent Only,2019-Q3,21,39.300000,35.900000000
Children Act (Public),North East,4 Neither,2019-Q3,12,12.100000,11.600000000
Children Act (Public),North East,All types,2019-Q3,715,29.500000,25.100000000
Children Act (Public),North West,1 Both,2019-Q3,452,32.400000,29.300000000
Children Act (Public),North West,2 Applicant Only,2019-Q3,140,14.500000,11.000000000
Children Act (Public),North West,3 Respondent Only,2019-Q3,1,26.100000,26.100000000
Children Act (Public),North West,4 Neither,2019-Q3,5,27.000000,16.300000000
Children Act (Public),North West,All types,2019-Q3,598,28.100000,25.900000000
Children Act (Public),South East,1 Both,2019-Q3,538,32.800000,28.400000000
Children Act (Public),South East,2 Applicant Only,2019-Q3,103,11.900000,9.000000000
Children Act (Public),South East,3 Respondent Only,2019-Q3,1,20.700000,20.700000000
Children Act (Public),South East,4 Neither,2019-Q3,8,3.800000,1.700000000
Children Act (Public),South East,All types,2019-Q3,650,29.200000,25.900000000
Children Act (Public),South West,1 Both,2019-Q3,347,30.500000,25.900000000
Children Act (Public),South West,2 Applicant Only,2019-Q3,61,9.700000,7.900000000
Children Act (Public),South West,3 Respondent Only,2019-Q3,4,33.200000,30.600000000
Children Act (Public),South West,4 Neither,2019-Q3,3,7.300000,5.000000000
Children Act (Public),South West,All types,2019-Q3,415,27.300000,24.100000000
Children Act (Public),Wales,1 Both,2019-Q3,212,26.800000,24.900000000
Children Act (Public),Wales,2 Applicant Only,2019-Q3,46,11.500000,9.900000000
Children Act (Public),Wales,3 Respondent Only,2019-Q3,1,22.300000,22.300000000
Children Act (Public),Wales,4 Neither,2019-Q3,5,18.700000,25.900000000
Children Act (Public),Wales,All types,2019-Q3,264,24.000000,24.200000000
Children Act (Public),England & Wales,1 Both,2019-Q4,3023,33.400000,29.000000000
Children Act (Public),England & Wales,2 Applicant Only,2019-Q4,741,15.800000,12.300000000
Children Act (Public),England & Wales,3 Respondent Only,2019-Q4,21,29.900000,26.400000000
Children Act (Public),England & Wales,4 Neither,2019-Q4,42,17.400000,17.200000000
Children Act (Public),England & Wales,All types,2019-Q4,3827,29.800000,26.000000000
Children Act (Public),London,1 Both,2019-Q4,302,38.400000,35.700000000
Children Act (Public),London,2 Applicant Only,2019-Q4,98,19.900000,21.600000000
Children Act (Public),London,3 Respondent Only,2019-Q4,1,24.600000,24.600000000
Children Act (Public),London,4 Neither,2019-Q4,5,17.200000,15.600000000
Children Act (Public),London,All types,2019-Q4,406,33.600000,29.700000000
Children Act (Public),Midlands,1 Both,2019-Q4,576,36.400000,32.200000000
Children Act (Public),Midlands,2 Applicant Only,2019-Q4,141,14.800000,13.000000000
Children Act (Public),Midlands,4 Neither,2019-Q4,7,20.600000,17.300000000
Children Act (Public),Midlands,All types,2019-Q4,724,32.100000,28.300000000
Children Act (Public),North East,1 Both,2019-Q4,574,31.700000,27.100000000
Children Act (Public),North East,2 Applicant Only,2019-Q4,132,16.300000,12.000000000
Children Act (Public),North East,3 Respondent Only,2019-Q4,7,38.300000,41.000000000
Children Act (Public),North East,4 Neither,2019-Q4,7,12.900000,13.400000000
Children Act (Public),North East,All types,2019-Q4,720,28.700000,25.600000000
Children Act (Public),North West,1 Both,2019-Q4,466,35.100000,31.700000000
Children Act (Public),North West,2 Applicant Only,2019-Q4,152,16.000000,11.900000000
Children Act (Public),North West,4 Neither,2019-Q4,7,15.900000,12.400000000
Children Act (Public),North West,All types,2019-Q4,625,30.200000,27.900000000
Children Act (Public),South East,1 Both,2019-Q4,531,31.900000,29.300000000
Children Act (Public),South East,2 Applicant Only,2019-Q4,117,14.000000,9.700000000
Children Act (Public),South East,3 Respondent Only,2019-Q4,7,24.800000,31.600000000
Children Act (Public),South East,4 Neither,2019-Q4,7,14.300000,18.300000000
Children Act (Public),South East,All types,2019-Q4,662,28.400000,26.400000000
Children Act (Public),South West,1 Both,2019-Q4,355,31.700000,25.900000000
Children Act (Public),South West,2 Applicant Only,2019-Q4,57,14.700000,8.400000000
Children Act (Public),South West,3 Respondent Only,2019-Q4,1,8.300000,8.300000000
Children Act (Public),South West,4 Neither,2019-Q4,2,9.400000,9.400000000
Children Act (Public),South West,All types,2019-Q4,415,29.200000,24.700000000
Children Act (Public),Wales,1 Both,2019-Q4,219,26.000000,24.400000000
Children Act (Public),Wales,2 Applicant Only,2019-Q4,44,13.900000,12.500000000
Children Act (Public),Wales,3 Respondent Only,2019-Q4,5,30.700000,25.400000000
Children Act (Public),Wales,4 Neither,2019-Q4,7,25.500000,24.900000000
Children Act (Public),Wales,All types,2019-Q4,275,24.100000,24.000000000
Children Act (Public),England & Wales,1 Both,2020-Q1,2815,34.400000,30.900000000
Children Act (Public),England & Wales,2 Applicant Only,2020-Q1,729,16.100000,12.100000000
Children Act (Public),England & Wales,3 Respondent Only,2020-Q1,30,36.900000,33.600000000
Children Act (Public),England & Wales,4 Neither,2020-Q1,39,20.300000,16.700000000
Children Act (Public),England & Wales,All types,2020-Q1,3613,30.500000,27.600000000
Children Act (Public),London,1 Both,2020-Q1,289,37.700000,34.700000000
Children Act (Public),London,2 Applicant Only,2020-Q1,83,22.300000,20.600000000
Children Act (Public),London,3 Respondent Only,2020-Q1,1,30.000000,30.000000000
Children Act (Public),London,4 Neither,2020-Q1,4,25.500000,25.800000000
Children Act (Public),London,All types,2020-Q1,377,34.200000,32.400000000
Children Act (Public),Midlands,1 Both,2020-Q1,533,38.300000,34.300000000
Children Act (Public),Midlands,2 Applicant Only,2020-Q1,163,15.800000,11.900000000
Children Act (Public),Midlands,3 Respondent Only,2020-Q1,2,25.000000,25.000000000
Children Act (Public),Midlands,4 Neither,2020-Q1,7,14.900000,16.700000000
Children Act (Public),Midlands,All types,2020-Q1,705,32.800000,29.900000000
Children Act (Public),North East,1 Both,2020-Q1,574,33.400000,28.400000000
Children Act (Public),North East,2 Applicant Only,2020-Q1,137,15.900000,12.900000000
Children Act (Public),North East,3 Respondent Only,2020-Q1,12,50.000000,56.800000000
Children Act (Public),North East,4 Neither,2020-Q1,5,45.200000,34.600000000
Children Act (Public),North East,All types,2020-Q1,728,30.500000,25.900000000
Children Act (Public),North West,1 Both,2020-Q1,428,35.600000,32.000000000
Children Act (Public),North West,2 Applicant Only,2020-Q1,158,17.100000,13.400000000
Children Act (Public),North West,4 Neither,2020-Q1,7,20.900000,27.000000000
Children Act (Public),North West,All types,2020-Q1,593,30.500000,28.100000000
Children Act (Public),South East,1 Both,2020-Q1,452,33.600000,31.300000000
Children Act (Public),South East,2 Applicant Only,2020-Q1,109,14.000000,9.900000000
Children Act (Public),South East,3 Respondent Only,2020-Q1,10,35.600000,34.600000000
Children Act (Public),South East,4 Neither,2020-Q1,10,14.000000,2.100000000
Children Act (Public),South East,All types,2020-Q1,581,29.600000,29.000000000
Children Act (Public),South West,1 Both,2020-Q1,335,29.900000,27.100000000
Children Act (Public),South West,2 Applicant Only,2020-Q1,44,10.100000,7.700000000
Children Act (Public),South West,3 Respondent Only,2020-Q1,2,12.700000,12.700000000
Children Act (Public),South West,4 Neither,2020-Q1,3,5.800000,5.900000000
Children Act (Public),South West,All types,2020-Q1,384,27.400000,24.700000000
Children Act (Public),Wales,1 Both,2020-Q1,204,28.300000,25.300000000
Children Act (Public),Wales,2 Applicant Only,2020-Q1,35,12.200000,11.600000000
Children Act (Public),Wales,3 Respondent Only,2020-Q1,3,15.800000,11.100000000
Children Act (Public),Wales,4 Neither,2020-Q1,3,19.100000,20.000000000
Children Act (Public),Wales,All types,2020-Q1,245,25.700000,24.900000000
Children Act (Public),England & Wales,1 Both,2020-Q2,2219,34.800000,30.600000000
Children Act (Public),England & Wales,2 Applicant Only,2020-Q2,595,15.800000,11.900000000
Children Act (Public),England & Wales,3 Respondent Only,2020-Q2,25,31.700000,30.000000000
Children Act (Public),England & Wales,4 Neither,2020-Q2,20,10.400000,7.400000000
Children Act (Public),England & Wales,All types,2020-Q2,2859,30.600000,27.300000000
Children Act (Public),London,1 Both,2020-Q2,223,36.900000,33.100000000
Children Act (Public),London,2 Applicant Only,2020-Q2,61,19.100000,17.000000000
Children Act (Public),London,3 Respondent Only,2020-Q2,1,36.400000,36.400000000
Children Act (Public),London,All types,2020-Q2,285,33.100000,30.100000000
Children Act (Public),Midlands,1 Both,2020-Q2,451,39.400000,34.000000000
Children Act (Public),Midlands,2 Applicant Only,2020-Q2,111,17.500000,13.300000000
Children Act (Public),Midlands,3 Respondent Only,2020-Q2,2,27.200000,27.200000000
Children Act (Public),Midlands,4 Neither,2020-Q2,5,13.300000,13.000000000
Children Act (Public),Midlands,All types,2020-Q2,569,34.800000,30.600000000
Children Act (Public),North East,1 Both,2020-Q2,437,33.100000,29.600000000
Children Act (Public),North East,2 Applicant Only,2020-Q2,115,15.100000,12.700000000
Children Act (Public),North East,3 Respondent Only,2020-Q2,5,48.000000,47.000000000
Children Act (Public),North East,4 Neither,2020-Q2,2,11.400000,11.400000000
Children Act (Public),North East,All types,2020-Q2,559,29.500000,26.700000000
Children Act (Public),North West,1 Both,2020-Q2,338,35.400000,31.800000000
Children Act (Public),North West,2 Applicant Only,2020-Q2,143,17.200000,12.100000000
Children Act (Public),North West,3 Respondent Only,2020-Q2,2,44.900000,44.900000000
Children Act (Public),North West,4 Neither,2020-Q2,1,34.000000,34.000000000
Children Act (Public),North West,All types,2020-Q2,484,30.000000,26.600000000
Children Act (Public),South East,1 Both,2020-Q2,352,34.900000,31.800000000
Children Act (Public),South East,2 Applicant Only,2020-Q2,88,13.000000,9.600000000
Children Act (Public),South East,3 Respondent Only,2020-Q2,6,21.000000,16.100000000
Children Act (Public),South East,4 Neither,2020-Q2,9,6.000000,0.000000000
Children Act (Public),South East,All types,2020-Q2,455,29.900000,29.000000000
Children Act (Public),South West,1 Both,2020-Q2,265,30.800000,26.900000000
Children Act (Public),South West,2 Applicant Only,2020-Q2,44,10.900000,6.600000000
Children Act (Public),South West,4 Neither,2020-Q2,2,14.900000,14.900000000
Children Act (Public),South West,All types,2020-Q2,311,27.900000,25.300000000
Children Act (Public),Wales,1 Both,2020-Q2,153,28.200000,25.300000000
Children Act (Public),Wales,2 Applicant Only,2020-Q2,33,13.800000,11.100000000
Children Act (Public),Wales,3 Respondent Only,2020-Q2,9,27.500000,25.600000000
Children Act (Public),Wales,4 Neither,2020-Q2,1,1.900000,1.900000000
Children Act (Public),Wales,All types,2020-Q2,196,25.600000,24.900000000
Children Act (Public),England & Wales,1 Both,2020-Q3,2694,39.300000,35.000000000
Children Act (Public),England & Wales,2 Applicant Only,2020-Q3,750,17.600000,11.500000000
Children Act (Public),England & Wales,3 Respondent Only,2020-Q3,26,33.500000,36.100000000
Children Act (Public),England & Wales,4 Neither,2020-Q3,32,20.900000,17.200000000
Children Act (Public),England & Wales,All types,2020-Q3,3502,34.400000,31.000000000
Children Act (Public),London,1 Both,2020-Q3,273,43.300000,39.600000000
Children Act (Public),London,2 Applicant Only,2020-Q3,82,25.200000,23.400000000
Children Act (Public),London,3 Respondent Only,2020-Q3,4,34.600000,38.400000000
Children Act (Public),London,4 Neither,2020-Q3,1,33.700000,33.700000000
Children Act (Public),London,All types,2020-Q3,360,39.000000,35.800000000
Children Act (Public),Midlands,1 Both,2020-Q3,476,46.200000,43.000000000
Children Act (Public),Midlands,2 Applicant Only,2020-Q3,140,16.100000,9.400000000
Children Act (Public),Midlands,3 Respondent Only,2020-Q3,3,64.200000,55.600000000
Children Act (Public),Midlands,4 Neither,2020-Q3,8,22.900000,15.700000000
Children Act (Public),Midlands,All types,2020-Q3,627,39.300000,34.600000000
Children Act (Public),North East,1 Both,2020-Q3,527,37.000000,33.400000000
Children Act (Public),North East,2 Applicant Only,2020-Q3,159,17.700000,11.400000000
Children Act (Public),North East,3 Respondent Only,2020-Q3,5,35.100000,35.300000000
Children Act (Public),North East,4 Neither,2020-Q3,3,27.600000,24.100000000
Children Act (Public),North East,All types,2020-Q3,694,32.600000,30.000000000
Children Act (Public),North West,1 Both,2020-Q3,449,40.100000,36.700000000
Children Act (Public),North West,2 Applicant Only,2020-Q3,159,17.600000,10.900000000
Children Act (Public),North West,3 Respondent Only,2020-Q3,3,39.300000,38.400000000
Children Act (Public),North West,4 Neither,2020-Q3,2,51.700000,51.700000000
Children Act (Public),North West,All types,2020-Q3,613,34.300000,31.900000000
Children Act (Public),South East,1 Both,2020-Q3,441,39.200000,35.600000000
Children Act (Public),South East,2 Applicant Only,2020-Q3,97,19.400000,17.700000000
Children Act (Public),South East,3 Respondent Only,2020-Q3,6,14.500000,3.200000000
Children Act (Public),South East,4 Neither,2020-Q3,9,18.300000,23.700000000
Children Act (Public),South East,All types,2020-Q3,553,35.200000,32.700000000
Children Act (Public),South West,1 Both,2020-Q3,340,32.800000,28.500000000
Children Act (Public),South West,2 Applicant Only,2020-Q3,69,12.300000,9.000000000
Children Act (Public),South West,3 Respondent Only,2020-Q3,1,39.900000,39.900000000
Children Act (Public),South West,4 Neither,2020-Q3,3,18.000000,18.700000000
Children Act (Public),South West,All types,2020-Q3,413,29.300000,25.700000000
Children Act (Public),Wales,1 Both,2020-Q3,188,32.000000,27.200000000
Children Act (Public),Wales,2 Applicant Only,2020-Q3,44,12.900000,8.000000000
Children Act (Public),Wales,3 Respondent Only,2020-Q3,4,29.800000,31.100000000
Children Act (Public),Wales,4 Neither,2020-Q3,6,7.600000,5.900000000
Children Act (Public),Wales,All types,2020-Q3,242,27.900000,25.700000000
Children Act (Public),England & Wales,1 Both,2020-Q4,3021,41.300000,36.900000000
Children Act (Public),England & Wales,2 Applicant Only,2020-Q4,799,18.300000,13.300000000
Children Act (Public),England & Wales,3 Respondent Only,2020-Q4,24,34.300000,27.100000000
Children Act (Public),England & Wales,4 Neither,2020-Q4,40,18.100000,8.700000000
Children Act (Public),England & Wales,All types,2020-Q4,3884,36.300000,32.100000000
Children Act (Public),London,1 Both,2020-Q4,361,46.400000,44.300000000
Children Act (Public),London,2 Applicant Only,2020-Q4,92,25.900000,23.800000000
Children Act (Public),London,3 Respondent Only,2020-Q4,3,13.900000,9.100000000
Children Act (Public),London,4 Neither,2020-Q4,3,10.500000,8.900000000
Children Act (Public),London,All types,2020-Q4,459,41.800000,39.400000000
Children Act (Public),Midlands,1 Both,2020-Q4,575,47.000000,42.400000000
Children Act (Public),Midlands,2 Applicant Only,2020-Q4,149,18.700000,14.100000000
Children Act (Public),Midlands,3 Respondent Only,2020-Q4,2,47.400000,47.400000000
Children Act (Public),Midlands,4 Neither,2020-Q4,9,31.300000,24.300000000
