YEAR,QUARTER,CASE_TYPE,Type,Order_type,Exparte_or_On_Notice,Power_of_arrest,Total
2019,1,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2019,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,479
2019,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,99
2019,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,262
2019,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3689
2019,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3563
2019,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,22
2019,2,Childrens Act,Orders made,Occupation,On Notice,n/a,7
2019,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,22
2019,3,Childrens Act,Orders made,Occupation,On Notice,n/a,8
2019,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,94
2019,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,547
2019,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3936
2019,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,246
2019,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,4069
2019,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,4011
2019,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,87
2019,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,26
2019,4,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2019,4,Childrens Act,Orders made,Occupation,Exparte,n/a,1
2019,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,232
2019,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,570
2019,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3750
2020,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,26
2020,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,99
2020,1,Childrens Act,Orders made,Occupation,On Notice,n/a,6
2020,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,3781
2020,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,516
2020,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,242
2020,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,4198
2020,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,4056
2020,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,76
2020,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,13
2020,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,213
2020,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,489
2020,2,Childrens Act,Orders made,Occupation,On Notice,n/a,10
2020,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,4726
2020,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5248
2020,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,73
2020,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,4490
2020,3,Childrens Act,Orders made,Occupation,On Notice,n/a,8
2020,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,561
2020,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,24
2020,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,237
2020,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,252
2020,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,44
2020,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5613
2020,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,12
2020,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,590
2020,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3997
2020,4,Childrens Act,Orders made,Occupation,On Notice,n/a,10
2021,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2021,1,Childrens Act,Orders made,Occupation,On Notice,n/a,12
2021,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3723
2021,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,491
2021,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5671
2021,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,236
2021,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,35
2021,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,41
2021,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3202
2021,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,494
2021,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,13
2021,2,Childrens Act,Orders made,Occupation,On Notice,n/a,7
2021,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,191
2021,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5552
2021,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5539
2021,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3368
2021,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,496
2021,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,49
2021,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,225
2021,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2021,3,Childrens Act,Orders made,Occupation,On Notice,n/a,9
2021,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2021,4,Childrens Act,Orders made,Occupation,On Notice,n/a,5
2021,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3219
2021,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,530
2021,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5367
2021,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,214
2021,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,57
2022,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,195
2022,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,42
2022,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,3267
2022,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,465
2022,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,10
2022,1,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2022,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5530
2022,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,5826
2022,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,32
2022,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,181
2022,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,9
2022,2,Childrens Act,Orders made,Occupation,On Notice,n/a,2
2022,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2933
2022,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,454
2022,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2903
2022,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,525
2022,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,44
2022,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6426
2022,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,8
2022,3,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2022,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,174
2022,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,168
2022,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,53
2022,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2823
2022,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,486
2022,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,14
2022,4,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2022,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6090
2023,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2517
2023,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6452
2023,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,10
2023,1,Childrens Act,Orders made,Occupation,On Notice,n/a,2
2023,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,500
2023,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,32
2023,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,136
2023,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,136
2023,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,11
2023,2,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2023,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6097
2023,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2035
2023,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,36
2023,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,475
2023,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,510
2023,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6380
2023,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,10
2023,3,Childrens Act,Orders made,Occupation,On Notice,n/a,3
2023,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,122
2023,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,25
2023,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2258
2023,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2202
2023,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,11
2023,4,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2023,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6019
2023,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,545
2023,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,37
2023,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,149
2024,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,35
2024,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,118
2024,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,5
2024,1,Childrens Act,Orders made,Occupation,On Notice,n/a,2
2024,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6362
2024,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2186
2024,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,555
2024,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2207
2024,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,606
2024,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,6
2024,2,Childrens Act,Orders made,Occupation,On Notice,n/a,6
2024,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,32
2024,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,113
2024,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6676
2024,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6273
2024,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,38
2024,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2187
2024,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,544
2024,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,6
2024,3,Childrens Act,Orders made,Occupation,On Notice,n/a,5
2024,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,125
2024,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,140
2024,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2182
2024,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,562
2024,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6098
2024,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,32
2024,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,18
2024,4,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2025,1,Domestic Violence,Orders made,Occupation,On Notice,n/a,530
2025,1,Childrens Act,Orders made,Occupation,On Notice,n/a,7
2025,1,Domestic Violence,Orders made,Occupation,Exparte,n/a,34
2025,1,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6478
2025,1,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2205
2025,1,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,152
2025,1,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,11
2025,2,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,12
2025,2,Domestic Violence,Orders made,Occupation,Exparte,n/a,41
2025,2,Domestic Violence,Orders made,Occupation,On Notice,n/a,546
2025,2,Childrens Act,Orders made,Occupation,On Notice,n/a,4
2025,2,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,138
2025,2,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6092
2025,2,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2065
2025,3,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2184
2025,3,Domestic Violence,Orders made,Occupation,On Notice,n/a,568
2025,3,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,11
2025,3,Domestic Violence,Orders made,Occupation,Exparte,n/a,50
2025,3,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6880
2025,3,Childrens Act,Orders made,Occupation,On Notice,n/a,5
2025,3,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,137
2025,4,Childrens Act,Orders made,Non-Molestation,On Notice,n/a,145
2025,4,Domestic Violence,Orders made,Non-Molestation,On Notice,n/a,6375
2025,4,Domestic Violence,Orders made,Occupation,Exparte,n/a,31
2025,4,Domestic Violence,Orders made,Occupation,On Notice,n/a,522
2025,4,Domestic Violence,Orders made,Non-Molestation,Exparte,n/a,2170
2025,4,Childrens Act,Orders made,Occupation,On Notice,n/a,6
2025,4,Childrens Act,Orders made,Non-Molestation,Exparte,n/a,11
